Device Name: RMX3363,,,,,,,,,,,,,,,,,,
roomPosNo\commonAPlist,CSE204_1,CSE204_2,CSE204_3,CSE204_4,CSE204_5,CSE204_6,CSE204_7,CSE204_8,CSE204_9,CSE204_10,CSE204_11,CSE204_12,CSE204_13,CSE204_14,CSE204_15,CSE204_16,CSE204_17,CSE204_18
Hall of Fame,-71,-70,-73,-72,-68,-67,-68,-68,-63,-75,-71,-74,-62,-59,-77,-73,-83,-85
CSE-206,-64,-56,-64,-63,-59,-70,-65,-62,-60,-53,-59,-54,-54,-56,-54,-47,-43,-62
CSE-104,-59,-67,-71,-76,-77,-77,-81,-77,-69,-64,-72,-77,-78,-79,-73,-77,-77,-76
CSE-202,-59,-59,-56,-55,-48,-55,-55,-58,-54,-66,-60,-61,-58,-57,-64,-64,-73,-70
CSE-205,-73,-70,-77,-81,-82,-77,-68,-69,-79,-61,-59,-57,-58,-61,-72,-72,-63,-55
CSE-304,-44,-44,-52,-61,-65,-57,-62,-61,-57,-54,-58,-69,-62,-71,-53,-60,-64,-61
CSE-204,-59,-60,-55,-57,-56,-53,-44,-59,-66,-68,-66,-58,-46,-59,-66,-63,-74,-71
CSE-303,-62,-50,-70,-69,-74,-68,-59,-64,-64,-52,-52,-50,-51,-56,-64,-73,-70,-55
Galaxy M124213,-61,-52,-58,-58,-63,-55,-59,-55,-13,-62,-56,-66,-64,-74,-69,-64,-68,-78
DataLab@BUET,-67,-63,-65,-74,-78,-66,-55,-63,-73,-71,-72,-63,-59,-57,-74,-67,-77,-70
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Device Name: SM-M127G,,,,,,,,,,,,,,,,,,
roomPosNo\commonAPlist,CSE204_1,CSE204_2,CSE204_3,CSE204_4,CSE204_5,CSE204_6,CSE204_7,CSE204_8,CSE204_9,CSE204_10,CSE204_11,CSE204_12,CSE204_13,CSE204_14,CSE204_15,CSE204_16,CSE204_17,CSE204_18
Hall of Fame,-74,-77,-84,-74,-82,-65,-67,-74,-68,-77,-75,-75,-72,-72,-79,-81,-82,-79
CSE-206,-62,-60,-61,-63,-59,-46,-67,-64,-57,-57,-58,-63,-57,-55,-57,-52,-47,-65
CSE-104,-62,-70,-71,-74,-79,-80,-84,-75,-74,-65,-69,-80,-81,-83,-78,-81,-81,-74
Redmi Note 8 Pro,-68,-59,-63,-62,-66,-64,-66,-66,-27,-70,-65,-68,-70,-77,-74,-64,-76,-74
CSE-202,-60,-56,-57,-53,-37,-44,-56,-55,-55,-65,-64,-54,-58,-55,-60,-58,-67,-66
CSE-205,-72,-76,-74,-68,-85,-80,-73,-69,-68,-67,-62,-61,-63,-61,-71,-68,-61,-61
CSE-304,-47,-51,-59,-63,-68,-55,-67,-59,-48,-60,-60,-62,-70,-73,-56,-65,-65,-59
CSE-303,-62,-60,-72,-72,-70,-66,-69,-67,-61,-54,-56,-65,-54,-60,-69,-70,-76,-53
CSE-204,-64,-62,-67,-63,-59,-49,-40,-64,-57,-69,-65,-67,-52,-58,-68,-76,-74,-68
DataLab@BUET,-74,-75,-75,-72,-75,-71,-64,-74,-73,-71,-71,-72,-67,-63,-78,-82,-86,-66
